id,name,host_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,city
32880851,Perfectly situated Studio on oceanfront,3886732,-33.9001,18.40762,Entire home/apt,879,2,18,0.67,74,Cape Town
32882128,Cape Town Sea point Heart of the Cape,202707360,-33.92259,18.38334,Entire home/apt,1964,2,47,2.15,1,Cape Town
32884793,Best of Both. Where Mountain meets Sea,232548303,-33.81828,18.47487,Entire home/apt,1700,2,15,0.74,2,Cape Town
32888202,Elegant Modern Apartment near Table Mountain,8108425,-33.92365,18.41619,Entire home/apt,854,2,40,1.26,34,Cape Town
32904146,The Cottage,14279113,-33.93523,18.49598,Entire home/apt,900,2,0,,1,Cape Town
32904694,UniqueStay Mayfair Luxury,82026431,-33.88804,18.50783,Entire home/apt,2064,2,0,,13,Cape Town
32906100,⭐Central | Security | Wifi | Parking | Pool | Gym⭐,54429870,-33.92884,18.44427,Entire home/apt,846,1,81,3.67,1,Cape Town
32912688,Panoramic Views and Direct Beach Access (Sleeps 6),246989284,-33.83368,18.48283,Entire home/apt,1797,3,42,1.76,1,Cape Town
32926335,Spacious and close to all amenities,18233256,-34.09918,18.83667,Entire home/apt,600,1,0,,1,Cape Town
32933700,Peaceful & Private Family Home in Blouberg,247797999,-33.79941,18.48815,Entire home/apt,890,7,10,0.33,1,Cape Town
32945882,Time Out Self Catering Accommodation Seagull,244352321,-33.80356,18.48069,Private room,700,2,0,,3,Cape Town
32946911,Time Out Self Catering Accommodation Starfish,244352321,-33.80497,18.47984,Private room,750,2,0,,3,Cape Town
32949159,Lilly's Cottage at Constantia Stables,51291508,-34.0376,18.43498,Entire home/apt,1500,2,4,0.15,2,Cape Town
32949788,Camps Bay - Mountain Retreat,113777427,-33.96424,18.38238,Entire home/apt,595,2,42,1.43,3,Cape Town
32950218,Luxurious loft with amazing view of Table Mountain,132974760,-33.91766,18.41771,Entire home/apt,1373,5,1,0.04,1,Cape Town
32950301,Tree House Studuo at Constantia Stables,51291508,-34.0363,18.43508,Entire home/apt,800,2,0,,2,Cape Town
32952381,Leonors Place,203035747,-33.87889,18.51621,Entire home/apt,900,1,16,0.76,1,Cape Town
32953023,"Private, sunny , secure garden cottage.",247982270,-33.9579,18.49022,Entire home/apt,280,2,53,1.67,1,Cape Town
32970152,Spacious Serene Seaside Studio Apartment,51711995,-34.20831,18.45691,Entire home/apt,1100,1,6,0.19,2,Cape Town
32970926,Natalie's Homestay - Self Cater-2 Bed Private Stay,248145024,-33.85542,18.53492,Entire home/apt,300,2,3,0.09,2,Cape Town
32972160,Sunny Sea Point Apartment with Private Balcony,248154632,-33.92033,18.38401,Entire home/apt,1319,3,39,2.02,1,Cape Town
32972756,Holiday Home Close to the Beach,80847296,-34.04377,18.34874,Entire home/apt,1200,9,1,0.1,1,Cape Town
32976875,top Location in Camps Bay 4 Bed luxury Beachfront,91647897,-33.95521,18.37651,Entire home/apt,2200,28,1,0.04,1,Cape Town
32985122,A cosy Home away from Home,248246680,-33.79602,18.47695,Private room,261,1,3,0.1,1,Cape Town
32995579,Urban Chic WEX1 Mountain views Pool entertainment,257734440,-33.92608,18.44499,Entire home/apt,981,2,40,1.27,101,Cape Town
32996429,Ocean views. Beach front 4 sleeper Great Location,257734440,-33.92101,18.37929,Entire home/apt,887,2,52,2.4,101,Cape Town
32996900,Modern and tranquil guest studio near vineyards,101455437,-34.03152,18.4602,Entire home/apt,439,4,14,0.45,1,Cape Town
33003744,Sunny Central Appartment,248392913,-33.87392,18.55461,Entire home/apt,850,2,2,0.21,2,Cape Town
33004420,Our family home called Eindelik.,247171935,-34.19556,18.44695,Entire home/apt,1529,2,1,0.05,1,Cape Town
33006139,"Lovely City Loft Apartment, WiFi, Pool, Parking",231225516,-33.92058,18.41617,Entire home/apt,1440,2,2,0.1,7,Cape Town
33024779,Harbour Terrace Apartment with Breathtaking Views,242632519,-33.91344,18.41487,Entire home/apt,1890,3,2,0.07,4,Cape Town
33026446,The best VIEW in the Strand - upmarket apartment,168303189,-34.11346,18.82267,Entire home/apt,2285,2,1,0.15,1,Cape Town
33028373,East Apartment - Peacefull and Private,158818711,-33.8715,18.60506,Entire home/apt,1200,1,1,0.04,4,Cape Town
33028530,Owner's Suite - Sea & Mountain Views,197019156,-33.82747,18.48315,Private room,2400,1,1,0.04,5,Cape Town
33028531,Signature Suite - Sea & Mountain Views,197019156,-33.82747,18.48315,Private room,2700,1,0,,5,Cape Town
33028534,SPA Suite with Golf & Pool Terrace,197019156,-33.82747,18.48315,Private room,2400,1,0,,5,Cape Town
33028536,Executive Suite - Sea & Mountain Views,197019156,-33.82747,18.48315,Private room,2100,1,0,,5,Cape Town
33028540,Deluxe Suite - Sea & Mountain Views,197019156,-33.82747,18.48315,Private room,1900,1,0,,5,Cape Town
